Problem, PyPRIMA result, SciPy result, Error, Error != 0, PyPRIMA cstrv, SciPy cstrv, Error, PyPRIMA nfev, SciPy nfev, PyPRIMA s, SciPy s, Speedup (<1)/Slowdown (>1)
BENNETT5LS , 0.6870228862299468     , 0.6394240555237142     , 6.93    , True, 0.0                    , 0.0                    , 0.00    , 55   , 39   , 0.0008968006480823864, 2.6018191606570512e-05, 34.46821599453179
BIGGS3     , 2.8475985877977878e-08 , 0.00032070233175094385 , -1126120.29, True, 0.0                    , 0.0                    , 0.00    , 1500 , 1000 , 0.0006439808209737142, 8.80885124206543e-06, 73.10610694598569
BIGGS5     , 0.004006433885186791   , 0.03592484485292646    , -796.68 , True, 0.0                    , 0.0                    , 0.00    , 2500 , 1000 , 0.0005796143531799316, 1.0944128036499023e-05, 52.9612182210313
BIGGS6     , 0.007953445408235116   , 0.061995068573047776   , -679.47 , True, 0.0                    , 0.0                    , 0.00    , 3000 , 1000 , 0.0007098393440246582, 1.1803150177001953e-05, 60.139821435785564
BIGGS6NE   , 0.0                    , 0.0                    , 0.00    , False, 3.0298183406607393e-09 , 5.9713611832989955e-09 , -97.09  , 71   , 67   , 0.005857870612345951, 0.00014217931832840192, 41.20058164026079
BIGGSC4    , -24.375                , -24.375                , 0.00    , False, 0.0                    , 0.0                    , 0.00    , 19   , 40   , 0.003274428217034591, 2.567172050476074e-05, 127.5500103870077
BOOTH      , 0.0                    , 0.0                    , 0.00    , False, 0.0                    , 0.0                    , 0.00    , 9    , 13   , 0.0006742212507459852, 7.790785569411058e-05, 8.654085582757899
BOX2       , 5.846883652860379e-19  , 8.750757693512076e-09  , -1496653296435.34, True, 0.0                    , 0.0                    , 0.00    , 34   , 27   , 0.00046967057620777805, 2.8813326800311052e-05, 16.30046330515044
BOX3       , 5.846883652860379e-19  , 3.685383150790669e-08  , -6303158006110.24, True, 0.0                    , 0.0                    , 0.00    , 41   , 32   , 0.00042265217478682356, 2.2195279598236084e-05, 19.04243525818944
BOX3NE     , 0.0                    , 0.0                    , 0.00    , False, 3.174127159027984e-10  , 4.893190342389157e-10  , -54.16  , 14   , 19   , 0.0016563619886125838, 9.079983359888981e-05, 18.241905551607044
BOXBOD     , 0.0                    , 0.0                    , 0.00    , False, 19.45872044064301      , 19.458720455266118     , -0.00   , 35   , 219  , 0.0012090001787458148, 5.450314038420377e-05, 22.182211340912204
BOXBODLS   , 2661.7278309334333     , 4470.941011729683      , -67.97  , True, 0.0                    , 0.0                    , 0.00    , 1000 , 1000 , 0.0005618159770965576, 8.357048034667969e-06, 67.22660618509643
BRKMCC     , 0.1690426792228084     , 0.16904612924098295    , -0.00   , True, 0.0                    , 0.0                    , 0.00    , 195  , 168  , 0.0006421076945769481, 8.977594829740979e-06, 71.52335416717332
BROWNBS    , 996219687329.2258      , 998003023452.4346      , -0.18   , True, 0.0                    , 0.0                    , 0.00    , 1000 , 1000 , 0.0007287099361419678, 8.907079696655274e-06, 81.81244144650553
BROWNDEN   , 85822.20135316643      , 85822.2062050091       , -0.00   , True, 0.0                    , 0.0                    , 0.00    , 816  , 652  , 0.0009268627447240493, 1.4797675828992223e-05, 62.63569735107328
BROWNDENE  , 0.0                    , 0.0                    , 0.00    , False, 115.70643967925746     , 115.70643970236192     , -0.00   , 138  , 118  , 0.0018840060717817666, 0.00012630325252726928, 14.916528546048358
BT1        , -0.9839255863997494    , -0.9942935850802206    , 1.05    , True, 5.007552775215807e-10  , 1.1714344361202222e-07 , -23293.35, 1000 , 1000 , 0.0013515009880065917, 5.3283214569091794e-05, 25.364479206751206
BT10       , -1.0000000000001457    , -1.0000007369062227    , 0.00    , True, 2.184918912462308e-13  , 1.9998724392622513e-05 , -9153073855.54, 23   , 23   , 0.002538784690525221, 6.399983945100203e-05, 39.66861030126337
BT11       , 0.011410073385170229   , 0.0114114377873153     , -0.01   , True, 3.1474822748123188e-12 , 9.275823442678188e-09  , -294606.14, 2500 , 125  , 0.0013911391258239745, 4.16412353515625e-05, 33.407729479662876
BT12       , 6.1881188113503045     , 6.188118814853112      , -0.00   , True, 5.9220753667355e-09    , 1.5073107004999456e-08 , -154.52 , 282  , 223  , 0.0012481246434204968, 2.9851502901770076e-05, 41.81111575948452
BT13       , -1.1991823248817916e-08, 2.1247042990143477e-06 , -17817.94, True, 1.3765651071531645e-08 , 1.1050674941673642e-06 , -7927.72, 497  , 688  , 0.0012070345926572619, 2.4105920348056528e-05, 50.07212233465194
BT2        , 0.032568200393792095   , 0.03256822163257142    , -0.00   , True, 2.360778239562933e-12  , 6.442927080740901e-09  , -272815.39, 149  , 246  , 0.000678052838216692, 2.3369866658032424e-05, 29.013979760284144
BT3        , 4.093023255814434      , 4.093023279386804      , -0.00   , True, 1.1102230246251565e-16 , 1.6653345369377348e-16 , -50.00  , 104  , 139  , 0.0009015592244955209, 1.4655024027652878e-05, 61.51878173617113
BT4        , -78.46256728035347     , -78.46256729992808     , 0.00    , True, 7.499886045536641e-09  , 1.9999840450424244e-08 , -166.67 , 87   , 63   , 0.0008183786238747081, 3.7284124465215773e-05, 21.949787895333696
BT6        , 0.27704478842613023    , 0.2770448076809272     , -0.00   , True, 1.500484181349293e-10  , 2.825830058839074e-08  , -18732.79, 165  , 132  , 0.0008233229319254558, 2.885767907807321e-05, 28.530462539901112
BT7        , 306.49999755454013     , 360.3797597119592      , -17.58  , True, 5.868026287103589e-09  , 1.9672314333085694e-08 , -235.25 , 159  , 207  , 0.0012135160794048189, 3.28073179088353e-05, 36.989188899163516
BT8        , 0.9999999994282865     , 1.0000000075665538     , -0.00   , True, 1.4333438052631913e-09 , 6.7805583916710765e-09 , -373.06 , 133  , 93   , 0.0009977225970504875, 3.092776062668011e-05, 32.25977493468419
BT9        , -1.000000012835143     , -1.0000000058376701    , -0.00   , True, 8.118040530880083e-09  , 1.7800509626324054e-08 , -119.27 , 137  , 115  , 0.0008985770009729984, 3.0001350071119224e-05, 29.951218823249317
BYRDSPHR   , -4.683300132967832     , -4.683300135522073     , 0.00    , True, 1.2500187551722775e-09 , 1.999869603253046e-08  , -1499.87, 80   , 83   , 0.0009495258331298828, 3.0506088072995107e-05, 31.125781544256117
CAMEL6     , -1.0316284534876325    , -1.031628327120866     , -0.00   , True, 0.0                    , 0.0                    , 0.00    , 65   , 41   , 0.0003923819615290715, 1.236287558951029e-05, 31.738729285765974
CANTILVR   , 1.3399563589530934     , 1.339956360618622      , -0.00   , True, 3.863192266084781e-09  , 1.6812724962234071e-09 , 56.48   , 191  , 192  , 0.0007449170057686211, 2.1186967690785725e-05, 35.159208086798934
CB2        , 1.9522244912137179     , 1.9522244658257621     , 0.00    , True, 4.621474203325704e-09  , 4.9276438485179597e-08 , -966.25 , 92   , 70   , 0.0007004997004633365, 2.381120409284319e-05, 29.418911271013044
CB3        , 1.9999999999998086     , 2.0000015424772917     , -0.00   , True, 3.6770586575585185e-13 , 0.0                    , 100.00  , 27   , 31   , 0.000986478946827076, 2.9094757572297127e-05, 33.90572835590017
CHACONN1   , 1.952224491491724      , 1.952224461331149      , 0.00    , True, 4.6196332315062705e-09 , 4.9279431535431684e-08 , -966.74 , 79   , 64   , 0.0007338886019549793, 2.9318034648895264e-05, 25.031984945233464
CHACONN2   , 2.000000000803364      , 2.0000000079971954     , -0.00   , True, 0.0                    , 0.0                    , 0.00    , 28   , 35   , 0.0009675366537911552, 2.8201511928013394e-05, 34.30797101449275
CHWIRUT1   , 0.0                    , 0.0                    , 0.00    , False, 13.100003505803315     , 13.167594551695046     , -0.52   , 21   , 23   , 0.002420959018525623, 0.0008120847784954568, 2.9811653692252613
CHWIRUT1LS , 2654.446390521632      , 2731.739362130793      , -2.91   , True, 0.0                    , 0.0                    , 0.00    , 1500 , 37   , 0.00041126012802124025, 1.5464988914695947e-05, 26.592979166666666
CHWIRUT2   , 0.0                    , 0.0                    , 0.00    , False, 8.550007574529033      , 8.566639187020883      , -0.19   , 31   , 26   , 0.0013978712020381804, 0.00021403569441575272, 6.53101907069244
CHWIRUT2LS , 619.4317100414929      , 576.3242986213921      , 6.96    , True, 0.0                    , 0.0                    , 0.00    , 1500 , 117  , 0.00045006926854451496, 9.239229381593883e-06, 48.712857962064405
CLIFF      , 0.20068718382825754    , 0.2005500730195649     , 0.07    , True, 0.0                    , 0.0                    , 0.00    , 1000 , 34   , 0.00039438796043395996, 1.0139801922966453e-05, 38.89503596127248
CLUSTER    , 0.0                    , 0.0                    , 0.00    , False, 3.455543131680771e-11  , 6.13539906167419e-07   , -1775423.80, 23   , 22   , 0.0009031399436618971, 5.071813409978693e-05, 17.8070419918246
CONCON     , -13372.743772861397    , -8973.991236291584     , -32.89  , True, 1000.0                 , 1000.0                 , 0.00    , 7500 , 1000 , 0.0035256218592325844, 4.343318939208984e-05, 81.17345073154308
CONGIGMZ   , 27.999999985652252     , 28.000000006147562     , -0.00   , True, 1.4347747878673545e-08 , 0.0                    , 100.00  , 49   , 368  , 0.0008906296321323939, 2.04346750093543e-05, 43.584232767327784
COOLHANS   , 0.0                    , 0.0                    , 0.00    , False, 5.282988433275638e-13  , 0.003196112210438982   , -604981867796.55, 506  , 458  , 0.002231796268417901, 5.130111910890804e-05, 43.50385151793632
CRESC100   , 24.8530828557642       , 42.37931441856949      , -70.52  , True, 0.0                    , 0.028387069755154926   , 0.00    , 3000 , 1000 , 0.006467500686645508, 0.00032571887969970703, 19.856081700293668
CRESC132   , 24.085146275637356     , 42.524376275371196     , -76.56  , True, 0.0                    , 0.036832014384426515   , 0.00    , 3000 , 1000 , 0.019907488028208416, 0.00614983606338501, 3.237076211955296
CRESC4     , 6.312035059812189      , 43.09054951849964      , -582.67 , True, 0.0                    , 0.026948443869141414   , 0.00    , 3000 , 1000 , 0.002032497008641561, 3.281712532043457e-05, 61.93403562303994
CRESC50    , 2.8435678558998276     , 45.021130213617965     , -1483.26, True, 2.696424989282677e-21  , 0.007925443697252111   , -293924130237366468608.00, 3000 , 1000 , 0.0016486723423004151, 0.00015887212753295897, 10.377354215001548
CSFI1      , -49.075198592669196    , -49.075198592203165    , -0.00   , True, 4.416733645484783e-10  , 2.842170943040401e-14  , 99.99   , 104  , 156  , 0.0016044240731459397, 5.534062018761268e-05, 28.991797845898923
CSFI2      , 55.01760720743236      , 55.017607212066636     , -0.00   , True, 7.93501442331035e-09   , 3.552713678800501e-15  , 100.00  , 126  , 291  , 0.001663071768624442, 7.577941999402653e-05, 21.94621928691902
CUBE       , 0.01040408453680293    , 0.03363884480866413    , -223.32 , True, 0.0                    , 0.0                    , 0.00    , 1000 , 1000 , 0.0004446690082550049, 7.159948348999023e-06, 62.10505810662316
CUBENE     , 0.0                    , 0.0                    , 0.00    , False, 8.578146526438957e-09  , 3.1443815642906436e-06 , -36555.72, 13   , 17   , 0.0010568912212665265, 0.00013010642107795268, 8.123282559846103
DANWOOD    , 0.0                    , 0.0                    , 0.00    , False, 0.03663810054155103    , 0.03663815312645369    , -0.00   , 20   , 19   , 0.0013230562210083008, 7.757387663188733e-05, 17.055435134260758
DANWOODLS  , 0.13298044468124987    , 103.917818             , -78045.19, True, 0.0                    , 0.0                    , 0.00    , 1000 , 5    , 0.0004126608371734619, 4.5347213745117185e-05, 9.100026288117771
DEGENLPA   , 25.937253679319408     , 3.975443841143263e-05  , 100.00  , True, 2.871232140932989e-10  , 1.3296331024734951e-13 , 99.95   , 81   , 134  , 0.014245295230253243, 0.00013036692320410884, 109.27077881519158
DEGENLPB   , -25.937253679319408    , -30.731245971382965    , 18.48   , True, 2.871232140932989e-10  , 1.399713678296166e-13  , 99.95   , 96   , 135  , 0.014048866927623749, 0.00012067335623281973, 116.42061981369551
DEMBO7     , 174.78702324560493     , 250.08062886246415     , -43.08  , True, 4.310084253703546e-11  , 0.08064832736812595    , -187115431109.56, 5038 , 1000 , 0.01341738981025093, 8.993577957153321e-05, 149.18856404173374
DEMYMALO   , -2.9999999999995466    , -2.999999930905572     , -0.00   , True, 0.0                    , 0.0                    , 0.00    , 31   , 37   , 0.002703605159636467, 4.638207925332559e-05, 58.28986546442112
DENSCHNB   , 1.0337444008679068e-12 , 1.312848269121153e-08  , -1269893.11, True, 0.0                    , 0.0                    , 0.00    , 66   , 38   , 0.000463225624778054, 1.1525656047620272e-05, 40.19082496164695
DENSCHNC   , 4.0218368170370506e-11 , 1.0647085928399082e-07 , -264631.92, True, 0.0                    , 0.0                    , 0.00    , 130  , 107  , 0.00046228445493257965, 9.184685822959259e-06, 50.332092337550854
DENSCHND   , 5.727556979692036e-07  , 5.247656657188822e-06  , -816.21 , True, 0.0                    , 0.0                    , 0.00    , 1500 , 1000 , 0.0004156338373819987, 6.9801807403564456e-06, 59.544853183955546
DENSCHNE   , 3.1979240732654555e-13 , 0.9961645018781955     , -311503487592397.69, True, 0.0                    , 0.0                    , 0.00    , 389  , 1000 , 0.0004394783765307429, 7.122039794921875e-06, 61.7068128212507
DENSCHNF   , 3.500480714730578e-11  , 4.997194536316827e-07  , -1427473.79, True, 0.0                    , 0.0                    , 0.00    , 54   , 33   , 0.0003926886452568902, 1.3004649769176137e-05, 30.19601851851852
DIPIGRI    , 680.6300573744224      , 680.6300574802378      , -0.00   , True, 2.964384293591138e-11  , 2.8019341868912306e-07 , -945099.38, 484  , 280  , 0.0012241355643784705, 2.573984009878976e-05, 47.55800967217458
DIXCHLNG   , 2471.89781021019       , 2471.897808814896      , 0.00    , True, 2.322262604437242e-09  , 1.5123994168142474e-08 , -551.26 , 618  , 311  , 0.0025599662540028395, 4.246610537219277e-05, 60.28257669419176
DJTL       , -8949.186909833958     , -8405.69915440774      , -6.07   , True, 0.0                    , 0.0                    , 0.00    , 1000 , 1000 , 0.0003911421298980713, 6.4239501953125e-06, 60.88810124703088
DUALC1     , 0.0                    , 0.0                    , 0.00    , False, 0.0                    , 0.0                    , 0.00    , 37   , 55   , 0.00466127653379698, 6.758082996715198e-05, 68.97335436783801
DUALC2     , 0.0                    , 0.0                    , 0.00    , False, 0.0                    , 0.0                    , 0.00    , 29   , 43   , 0.0036921336733061693, 5.9044638345407884e-05, 62.53122682719116
DUALC5     , 0.0                    , -3.194059669687556e-15 , 0.00    , False, 0.0                    , 6.445568270989904e-19  , 0.00    , 33   , 53   , 0.005317789135557233, 7.300106984264446e-05, 72.84535893816151
DUALC8     , 0.0                    , -6.223324862719115e-13 , 0.00    , False, 0.0                    , 7.820783852606752e-17  , 0.00    , 33   , 59   , 0.006891879168423739, 9.549270241947497e-05, 72.17178898288458
ECKERLE4   , 0.0                    , 0.0                    , 0.00    , False, 0.01371280165694913    , 0.013712932431785285   , -0.00   , 61   , 192  , 0.0015177531320540632, 0.00012106324235598247, 12.536861746946775
ECKERLE4LS , 0.6996958558194455     , 0.6996958853494009     , -0.00   , True, 0.0                    , 0.0                    , 0.00    , 1500 , 39   , 0.000400143305460612, 0.00011629936022636217, 3.440632043734231
ELATTAR    , 37.11044569241935      , 9.44564497994434       , 74.55   , True, 9.302495974916614e-09  , 44.24015939996587      , -475573002234.60, 3139 , 1000 , 0.0017234603095563517, 0.00013340401649475098, 12.919103598534939
ENGVAL2    , 0.012209503868603113   , 0.42094476286231636    , -3347.68, True, 0.0                    , 0.0                    , 0.00    , 1500 , 1000 , 0.00034576193491617837, 5.788803100585938e-06, 59.729434376716085
ENSO       , 0.0                    , 0.0                    , 0.00    , False, 4.872796761247474      , 4.873581527582592      , -0.02   , 156  , 131  , 0.0033991611920870268, 0.00047930688348435266, 7.091826362635568
ENSOLS     , 788.5397866708956      , 788.5449362549716      , -0.00   , True, 0.0                    , 0.0                    , 0.00    , 2484 , 1000 , 0.0004780990298051573, 2.280688285827637e-05, 20.962927409944598
EQC        , -829.5477053187723     , -923.5725949795307     , 11.33   , True, 8.326672684688674e-17  , 4.440892098500626e-16  , -433.33 , 30   , 57   , 0.002082339922587077, 1.929935656095806e-05, 107.89685739055051
ERRINBAR   , -142.05539019911558    , -160.3409562105142     , 12.87   , True, 589.884                , 13.975320515922874     , 97.63   , 147  , 1000 , 0.0009451026008242653, 9.729719161987305e-05, 9.713565058657121
EXPFIT     , 0.24051059621230178    , 0.24056408546152047    , -0.02   , True, 0.0                    , 0.0                    , 0.00    , 308  , 201  , 0.00040144115299373475, 7.651931610866565e-06, 52.4627209714793
EXPFITA    , 0.001136611706167554   , 3.9469229722360537     , -347153.42, True, 0.0                    , 47.323081300000005     , 0.00    , 134  , 6    , 0.001188753256157263, 6.552537282307942e-05, 18.141877030855426
EXPFITB    , 0.005019365520467761   , 17.894823948578278     , -356415.66, True, 7.105427357601002e-15  , 47.64597255            , -670557450693390208.00, 109  , 6    , 0.0018519064702025247, 6.882349650065105e-05, 26.90805559675403
EXPFITC    , 0.023302572606785345   , 87.62130046808227      , -375915.57, True, 0.0                    , 47.6470374             , 0.00    , 130  , 6    , 0.004245429772597092, 0.0001817941665649414, 23.352948297604033
EXTRASIM   , 1.0                    , 1.0                    , 0.00    , False, 0.0                    , 0.0                    , 0.00    , 9    , 13   , 0.0008920033772786459, 5.0929876474233774e-05, 17.51434401632457
FBRAIN     , 0.0                    , 0.0                    , 0.00    , False, 0.04787576461951498    , 0.04787578024195599    , -0.00   , 16   , 24   , 0.028877899050712585, 0.010295748710632324, 2.804837206340385
FBRAIN2    , 0.0                    , 0.0                    , 0.00    , False, 0.03112854734644654    , 0.031151137510952255   , -0.07   , 522  , 1000 , 0.024895478482447365, 0.007931392908096314, 3.1388532595622927
FBRAIN2LS  , 0.39313171871271146    , 0.39376721513515583    , -0.16   , True, 0.0                    , 0.0                    , 0.00    , 2000 , 129  , 0.0005638840198516846, 0.00020468881887982982, 2.7548354762979685
FBRAIN3    , 0.0                    , 0.0                    , 0.00    , False, 0.027823096811724568   , 0.029651028498527854   , -6.57   , 3000 , 1000 , 0.02923461977640788, 0.009890447854995727, 2.9558438813912042
FBRAIN3LS  , 0.3652343985442748     , 0.42739328217708317    , -17.02  , True, 0.0                    , 0.0                    , 0.00    , 3000 , 1000 , 0.0014612080256144206, 0.00040909409523010254, 3.5718140218878913
FBRAINLS   , 0.5060838591440499     , 0.6976938018250041     , -37.86  , True, 0.0                    , 0.0                    , 0.00    , 1000 , 1000 , 0.0005404770374298096, 0.00013646793365478516, 3.9604691223435853
FCCU       , 11.149109141486754     , 11.149109224644832     , -0.00   , True, 7.105427357601002e-15  , 7.105427357601002e-15  , 0.00    , 618  , 578  , 0.004430223437188898, 3.227684324587918e-05, 137.25702366369148
FLETCHER   , 11.656854202186993     , 11.656854236571824     , -0.00   , True, 9.999197914112301e-09  , 3.333233244973144e-09  , 66.66   , 129  , 155  , 0.0008463175721870836, 2.8676371420583418e-05, 29.512714833216698
FLT        , 5.378712120506237e-05  , 0.00019638162345871505 , -265.11 , True, 1.5209614932242006e-14 , 9.31012098283342e-11   , -612020.76, 63   , 39   , 0.0008451408810085721, 3.131230672200521e-05, 26.990693739424703
FREURONE   , 0.0                    , 0.0                    , 0.00    , False, 4.948952095103347      , 4.9489520957570035     , -0.00   , 79   , 80   , 0.0005564387840560719, 2.9474496841430664e-05, 18.8786525194865
GAUSS1     , 0.0                    , 0.0                    , 0.00    , False, 6.395560694378488      , 10.647320574207033     , -66.48  , 1249 , 1000 , 0.004166560329562478, 0.0007147459983825684, 5.829427991190127
GAUSS1LS   , 3552.649289380294      , 4055.7162369098705     , -14.16  , True, 0.0                    , 0.0                    , 0.00    , 92   , 10   , 0.0004368035689644192, 3.7217140197753905e-05, 11.736623680472386
GAUSS2     , 0.0                    , 0.0                    , 0.00    , False, 5.5395263232415415     , 13.731937358906464     , -147.89 , 190  , 1000 , 0.00495530555122777, 0.0008897941112518311, 5.569047365638624
GAUSS2LS   , 5156.1948148125775     , 5756.849054357412      , -11.65  , True, 0.0                    , 0.0                    , 0.00    , 100  , 11   , 0.0009638714790344238, 4.0552832863547586e-05, 23.76828968466061
GAUSS3     , 0.0                    , 0.0                    , 0.00    , False, 5.420551209386602      , 17.421989797848823     , -221.41 , 433  , 1000 , 0.005132821635891604, 0.0006716537475585937, 7.6420650588923085
GAUSS3LS   , 14725.134251776495     , 15280.84279431247      , -3.77   , True, 0.0                    , 0.0                    , 0.00    , 4000 , 10   , 0.0004968634843826294, 3.921985626220703e-05, 12.668671732522798
GAUSSIAN   , 1.1336670930726987e-08 , 2.4788513400717508e-08 , -118.66 , True, 0.0                    , 0.0                    , 0.00    , 198  , 37   , 0.0004235662595190183, 1.851288047996727e-05, 22.87954378452116
GBRAIN     , 0.0                    , 0.0                    , 0.00    , False, 0.3285258575483354     , 0.3285258592172833     , -0.00   , 17   , 16   , 0.02392735200769761, 0.009956687688827515, 2.4031437718536353
GBRAINLS   , 31.166329428798402     , 35.44131496314514      , -13.72  , True, 0.0                    , 0.0                    , 0.00    , 1000 , 1000 , 0.0005173192024230957, 0.00013014793395996094, 3.9748552795486187
GENHS28    , 3.2568363276182606e-11 , 5.55777447913074e-07   , -1706394.87, True, 0.0                    , 0.0                    , 0.00    , 1450 , 750  , 0.0005994227836871969, 1.595465342203776e-05, 37.5704045604168
GIGOMEZ1   , -2.999999999999996     , -2.999999997573364     , -0.00   , True, 0.0                    , 0.0                    , 0.00    , 24   , 34   , 0.0010816256205240886, 3.426916459027459e-05, 31.562649205374804
GIGOMEZ2   , 1.9522244909044881     , 1.9522244852083008     , 0.00    , True, 4.621070193167043e-09  , 4.926685215345117e-08  , -966.14 , 97   , 63   , 0.0007551158826375745, 2.541239299471416e-05, 29.714473674110124
GIGOMEZ3   , 1.9999999999999987     , 1.999999828821951      , 0.00    , True, 2.6645352591003757e-15 , 2.7141195113600247e-07 , -10186089583.33, 25   , 31   , 0.001059122085571289, 3.084059684507308e-05, 34.341815461346634
GOTTFR     , 0.0                    , 0.0                    , 0.00    , False, 4.27467727881492e-10   , 2.6967234852959265e-05 , -6308501.35, 14   , 21   , 0.0011487177440098353, 5.652790977841332e-05, 20.321249246836715
GROWTH     , 0.0                    , 0.0                    , 0.00    , False, 0.44094130354844197    , 1.3949791199835566     , -216.36 , 541  , 1000 , 0.0009481849599898192, 5.86700439453125e-05, 16.161313273834274
GROWTHLS   , 13.322116557546796     , 181.62077882048226     , -1263.30, True, 0.0                    , 0.0                    , 0.00    , 1500 , 1000 , 0.0004216354688008626, 7.557153701782226e-06, 55.79289312342914
GULF       , 6.21412247743578       , 6.501497325883342      , -4.62   , True, 0.0                    , 0.0                    , 0.00    , 1500 , 1000 , 0.000441400686899821, 1.5545129776000975e-05, 28.394789445969646
GULFNE     , 0.0                    , 0.0                    , 0.00    , False, 1.1092515794786095e-13 , 0.04134414520967966    , -37272108486879.11, 89   , 431  , 0.01262672831503193, 0.00035641752097003695, 35.42678901044661
HAHN1      , 0.0                    , 0.0                    , 0.00    , False, 0.7809017486741325     , 8.56824335194635       , -997.22 , 500  , 77   , 0.004157715797424316, 0.0007654970342462713, 5.4313937369046945
HAHN1LS    , 5271.868589886371      , 85286.67344375506      , -1517.77, True, 0.0                    , 0.0                    , 0.00    , 67   , 91   , 0.00037538827355228254, 1.3922597025776957e-05, 26.96251804582657
HAIFAS     , -0.4500000131807079    , -0.4500000074988339    , -0.00   , True, 1.3450682048721574e-08 , 4.1187254273822305e-08 , -206.21 , 287  , 265  , 0.0016470379114981728, 3.324904531802771e-05, 49.536397082810225
HAIRY      , 20.00000000161213      , 251.30580051764042     , -1156.53, True, 0.0                    , 0.0                    , 0.00    , 84   , 1000 , 0.00039306141081310456, 6.242036819458008e-06, 62.970056438602334
HALDMADS   , 0.0001223709968637849  , 0.0002916104355905428  , -138.30 , True, 3.61577434659921e-12   , 4.996403735191279e-09  , -138083.51, 62   , 221  , 0.002732949872170725, 7.622705865229956e-05, 35.85275255912396
HART6      , -3.322886891570115     , -3.3228867218749034    , -0.00   , True, 0.0                    , 0.0                    , 0.00    , 203  , 118  , 0.0004830055048900285, 1.0609626770019531e-05, 45.525211711961035
HATFLDA    , 2.494489994050722e-07  , 7.285208048767928e-06  , -2820.52, True, 0.0                    , 0.0                    , 0.00    , 2000 , 1000 , 0.00043604302406311034, 7.794857025146485e-06, 55.939836055545356
HATFLDB    , 0.005572809002647818   , 0.005572874623415028   , -0.00   , True, 0.0                    , 0.0                    , 0.00    , 388  , 174  , 0.0006030232635969968, 1.043560861170977e-05, 57.78515523477432
HATFLDD    , 0.0017122455222537462  , 0.004890529393961784   , -185.62 , True, 0.0                    , 0.0                    , 0.00    , 1500 , 1000 , 0.0003882781664530436, 6.721973419189453e-06, 57.76252630583339
