Problem, Fortran result, Python result, Error, Fortran cstrv, Python cstrv, Error, Fortran nfev, Python nfev, Fresult.status
BIGGS5     , 0.0037254020202865394  , 0.0037254020202865394  , 0.00    , 0.0                    , 0.0                    , 0.00    , 2500 , 2500 , 3
BIGGS6     , 0.009233751892945407   , 0.009233751892945407   , 0.00    , 0.0                    , 0.0                    , 0.00    , 3000 , 3000 , 3
BIGGS6NE   , 0.0                    , 0.0                    , 0.00    , 3.0298184655608296e-09 , 3.0298184655608296e-09 , 0.00    , 71   , 71   , 0
BIGGSC4    , -24.375                , -24.375                , -0.00   , 0.0                    , 0.0                    , 0.00    , 19   , 19   , 0
BOOTH      , 0.0                    , 0.0                    , 0.00    , 8.881784197001252e-16  , 8.881784197001252e-16  , 0.00    , 9    , 9    , 0
BOX2       , 5.846883652860379e-19  , 5.846883652860379e-19  , 0.00    , 0.0                    , 0.0                    , 0.00    , 34   , 34   , 0
BOX3       , 5.846883652860379e-19  , 5.846883652860379e-19  , 0.00    , 0.0                    , 0.0                    , 0.00    , 41   , 41   , 0
BOX3NE     , 0.0                    , 0.0                    , 0.00    , 3.174127159027984e-10  , 3.174127159027984e-10  , 0.00    , 14   , 14   , 0
BOXBOD     , 0.0                    , 0.0                    , 0.00    , 19.45872044064301      , 19.45872044064301      , 0.00    , 35   , 35   , 0
BOXBODLS   , 2706.7053209986425     , 2706.7053209986425     , 0.00    , 0.0                    , 0.0                    , 0.00    , 1000 , 1000 , 3
BRKMCC     , 0.16904267926782027    , 0.16904267926782027    , 0.00    , 0.0                    , 0.0                    , 0.00    , 240  , 240  , 0
BROWNBS    , 996487161510.3127      , 996487161510.3127      , 0.00    , 0.0                    , 0.0                    , 0.00    , 1000 , 1000 , 3
BROWNDEN   , 85822.20135313956      , 85822.20135313956      , 0.00    , 0.0                    , 0.0                    , 0.00    , 821  , 821  , 0
BROWNDENE  , 0.0                    , 0.0                    , 0.00    , 115.70643967925741     , 115.70643967925741     , 0.00    , 152  , 152  , 0
BT1        , -0.9839255863997494    , -0.9839255863997494    , -0.00   , 5.007552775215807e-10  , 5.007552775215807e-10  , 0.00    , 1000 , 1000 , 3
BT10       , -1.0000000000001457    , -1.0000000000001457    , -0.00   , 2.184918912462308e-13  , 2.184918912462308e-13  , 0.00    , 23   , 23   , 0
BT11       , 0.8248917775441493     , 0.8248917775441493     , 0.00    , 8.572899334868822e-11  , 8.572899334868822e-11  , 0.00    , 160  , 160  , 0
BT12       , 6.188118810425604      , 6.188118810425604      , 0.00    , 9.053202239837774e-09  , 9.053202239837774e-09  , 0.00    , 281  , 281  , 0
BT13       , -1.1684547475646606e-08, -1.1684547475646606e-08, -0.00   , 1.2413868567670141e-08 , 1.2413868567670141e-08 , 0.00    , 733  , 733  , 0
BT2        , 0.03256820039408809    , 0.03256820039408809    , 0.00    , 2.8332891588433995e-13 , 2.8332891588433995e-13 , 0.00    , 159  , 159  , 0
BT3        , 4.09302325581437       , 4.09302325581437       , 0.00    , 1.1102230246251565e-16 , 1.1102230246251565e-16 , 0.00    , 105  , 105  , 0
BT4        , -45.510550745652516    , -45.510550745652516    , -0.00   , 1.875001487405825e-09  , 1.875001487405825e-09  , 0.00    , 86   , 86   , 0
BT6        , 0.27704478842853564    , 0.27704478842853564    , 0.00    , 4.426459199180499e-13  , 4.426459199180499e-13  , 0.00    , 185  , 185  , 0
BT7        , 306.49999431504455     , 306.49999431504455     , 0.00    , 3.884431763290827e-09  , 3.884431763290827e-09  , 0.00    , 181  , 181  , 0
BT8        , 0.9999999961817733     , 0.9999999961817733     , 0.00    , 1.2139740305875072e-08 , 1.2139740305875072e-08 , 0.00    , 142  , 142  , 0
BT9        , -1.000000005686783     , -1.000000005686783     , -0.00   , 5.6577898813565485e-09 , 5.6577898813565485e-09 , 0.00    , 146  , 146  , 0
BYRDSPHR   , -4.683300133687232     , -4.683300133687232     , -0.00   , 7.49991979631659e-09   , 7.49991979631659e-09   , 0.00    , 81   , 81   , 0
CAMEL6     , -1.0316284534897109    , -1.0316284534897109    , -0.00   , 0.0                    , 0.0                    , 0.00    , 70   , 70   , 0
CANTILVR   , 1.3399563589493664     , 1.3399563589493664     , 0.00    , 3.870630996272162e-09  , 3.870630996272162e-09  , 0.00    , 187  , 187  , 0
CB2        , 1.9522244912137912     , 1.9522244912137912     , 0.00    , 4.621474314348006e-09  , 4.621474314348006e-09  , 0.00    , 92   , 92   , 0
CB3        , 1.9999999999998086     , 1.9999999999998086     , 0.00    , 3.6770586575585185e-13 , 3.6770586575585185e-13 , 0.00    , 27   , 27   , 0
CHACONN1   , 1.952224490848229      , 1.952224490848229      , 0.00    , 4.619454596621608e-09  , 4.619454596621608e-09  , 0.00    , 74   , 74   , 0
CHACONN2   , 2.000000000803364      , 2.000000000803364      , 0.00    , 0.0                    , 0.0                    , 0.00    , 28   , 28   , 0
CHWIRUT1   , 0.0                    , 0.0                    , 0.00    , 13.100003505803315     , 13.100003505803315     , 0.00    , 21   , 21   , 0
CHWIRUT1LS , 2610.6084708005064     , 2610.6084708005064     , 0.00    , 0.0                    , 0.0                    , 0.00    , 1500 , 1500 , 3
CHWIRUT2   , 0.0                    , 0.0                    , 0.00    , 8.550007574529019      , 8.550007574529019      , 0.00    , 31   , 31   , 0
CHWIRUT2LS , 627.5103290371579      , 627.5103290371579      , 0.00    , 0.0                    , 0.0                    , 0.00    , 1500 , 1500 , 3
CLIFF      , 0.20068728039814143    , 0.20068728039814143    , 0.00    , 0.0                    , 0.0                    , 0.00    , 1000 , 1000 , 3
CLUSTER    , 0.0                    , 0.0                    , 0.00    , 3.455543131680771e-11  , 3.455543131680771e-11  , 0.00    , 23   , 23   , 0
CONCON     , -6230.7955476904135    , -6230.7955476904135    , -0.00   , 3.0144826545009335e-09 , 3.0144826545009335e-09 , 0.00    , 1841 , 1841 , 0
CONGIGMZ   , 27.99999999627225      , 27.99999999627225      , 0.00    , 3.727762987182359e-09  , 3.727762987182359e-09  , 0.00    , 40   , 40   , 0
COOLHANS   , 0.0                    , 0.0                    , 0.00    , 6.654471028777323e-13  , 6.654471028777323e-13  , 0.00    , 526  , 526  , 0
CRESC100   , 12.344516657246785     , 12.344516657246785     , 0.00    , 0.0                    , 0.0                    , 0.00    , 3000 , 3000 , 3
CRESC132   , 22.027329882204143     , 22.027329882204143     , 0.00    , 0.0                    , 0.0                    , 0.00    , 3000 , 3000 , 3
CRESC4     , 2.2014732007195974     , 2.2014732007195974     , 0.00    , 2.369838850418249e-18  , 2.369838850418249e-18  , 0.00    , 3000 , 3000 , 3
CRESC50    , 2.4825387320290133     , 2.4825387320290133     , 0.00    , 0.0                    , 0.0                    , 0.00    , 3000 , 3000 , 3
CSFI1      , -49.07519859222229     , -49.07519859222229     , -0.00   , 1.1193520776942023e-08 , 1.1193520776942023e-08 , 0.00    , 105  , 105  , 0
CSFI2      , 55.01760720743365      , 55.01760720743365      , 0.00    , 7.934445989121741e-09  , 7.934445989121741e-09  , 0.00    , 130  , 130  , 0
CUBE       , 0.011249469195071457   , 0.011249469195071457   , 0.00    , 0.0                    , 0.0                    , 0.00    , 1000 , 1000 , 3
CUBENE     , 0.0                    , 0.0                    , 0.00    , 0.0                    , 0.0                    , 0.00    , 43   , 43   , 0
DANWOOD    , 0.0                    , 0.0                    , 0.00    , 0.03663810054155192    , 0.03663810054155192    , 0.00    , 20   , 20   , 0
DANWOODLS  , 0.138114157125975      , 0.138114157125975      , 0.00    , 0.0                    , 0.0                    , 0.00    , 1000 , 1000 , 3
DEGENLPA   , 4.591745425365873      , 4.591745425365873      , 0.00    , 2.54815467584966e-13   , 2.54815467584966e-13   , 0.00    , 83   , 83   , 0
DEGENLPB   , -30.731246817992613    , -30.731246817992613    , -0.00   , 2.872528603869995e-13  , 2.872528603869995e-13  , 0.00    , 97   , 97   , 0
DEMBO7     , 174.86529625946446     , 174.86529625946446     , 0.00    , 5.328243238335286e-11  , 5.328243238335286e-11  , 0.00    , 8000 , 8000 , 3
DEMYMALO   , -2.9999999999999996    , -2.9999999999999996    , -0.00   , 0.0                    , 0.0                    , 0.00    , 30   , 30   , 0
DENSCHNB   , 2.6945695224742453e-13 , 2.6945695224742453e-13 , 0.00    , 0.0                    , 0.0                    , 0.00    , 65   , 65   , 0
DENSCHNC   , 1.0258723343782074e-10 , 1.0258723343782074e-10 , 0.00    , 0.0                    , 0.0                    , 0.00    , 165  , 165  , 0
DENSCHND   , 4.736985431672521e-07  , 4.736985431672521e-07  , 0.00    , 0.0                    , 0.0                    , 0.00    , 1500 , 1500 , 3
DENSCHNE   , 3.8548206981663624e-13 , 3.8548206981663624e-13 , 0.00    , 0.0                    , 0.0                    , 0.00    , 323  , 323  , 0
DENSCHNF   , 3.500480714730578e-11  , 3.500480714730578e-11  , 0.00    , 0.0                    , 0.0                    , 0.00    , 54   , 54   , 0
DIPIGRI    , 680.630057374634       , 680.630057374634       , 0.00    , 4.5813297600005853e-11 , 4.5813297600005853e-11 , 0.00    , 417  , 417  , 0
DIXCHLNG   , 2471.9000558807024     , 2471.9000558807024     , 0.00    , 2.0647288323516477e-09 , 2.0647288323516477e-09 , 0.00    , 389  , 389  , 0
DJTL       , -8950.910668174563     , -8950.910668174563     , -0.00   , 0.0                    , 0.0                    , 0.00    , 1000 , 1000 , 3
DUALC1     , 6155.251686004852      , 6155.251686004852      , 0.00    , 2.9360577716497774e-24 , 2.9360577716497774e-24 , 0.00    , 190  , 190  , 0
DUALC2     , 3551.3063845622737     , 3551.3063845622737     , 0.00    , 3.2131266153824106e-22 , 3.2131266153824106e-22 , 0.00    , 116  , 116  , 0
DUALC5     , 427.23254727394436     , 427.23254727394436     , 0.00    , 1.1673796479837064e-08 , 1.1673796479837064e-08 , 0.00    , 176  , 176  , 0
DUALC8     , 18309.360566957563     , 18309.360566957563     , 0.00    , 9.287690237297924e-09  , 9.287690237297924e-09  , 0.00    , 170  , 170  , 0
ECKERLE4   , 0.0                    , 0.0                    , 0.00    , 0.013712801732086388   , 0.013712801732086388   , 0.00    , 68   , 68   , 0
ECKERLE4LS , 0.699695856485977      , 0.699695856485977      , 0.00    , 0.0                    , 0.0                    , 0.00    , 1500 , 1500 , 3
ELATTAR    , 51.47204869447854      , 51.47204869447854      , 0.00    , 0.0                    , 0.0                    , 0.00    , 3500 , 3500 , 3
ENGVAL2    , 0.0066521853170942065  , 0.0066521853170942065  , 0.00    , 0.0                    , 0.0                    , 0.00    , 1500 , 1500 , 3
ENSO       , 0.0                    , 0.0                    , 0.00    , 4.872796761247474      , 4.872796761247474      , 0.00    , 155  , 155  , 0
ENSOLS     , 788.5397866694871      , 788.5397866694871      , 0.00    , 0.0                    , 0.0                    , 0.00    , 2491 , 2491 , 0
EQC        , -829.5477053187723     , -829.5477053187723     , -0.00   , 8.326672684688674e-17  , 8.326672684688674e-17  , 0.00    , 30   , 30   , 0
ERRINBAR   , 203.48674841371607     , 203.48674841371607     , 0.00    , 3.4968691556686338     , 3.4968691556686338     , 0.00    , 9000 , 9000 , 3
EXPFIT     , 0.24051059462618385    , 0.24051059462618385    , 0.00    , 0.0                    , 0.0                    , 0.00    , 259  , 259  , 0
EXPFITA    , 0.001136611706167525   , 0.001136611706167525   , 0.00    , 7.105427357601002e-15  , 7.105427357601002e-15  , 0.00    , 118  , 118  , 0
EXPFITB    , 0.005019365520499348   , 0.005019365520499348   , 0.00    , 3.3306690738754696e-15 , 3.3306690738754696e-15 , 0.00    , 113  , 113  , 0
EXPFITC    , 0.02330257260645052    , 0.02330257260645052    , 0.00    , 0.0                    , 0.0                    , 0.00    , 138  , 138  , 0
EXTRASIM   , 1.0                    , 1.0                    , 0.00    , 0.0                    , 0.0                    , 0.00    , 10   , 10   , 0
FBRAIN     , 0.0                    , 0.0                    , 0.00    , 0.04787576461951498    , 0.04787576461951498    , 0.00    , 16   , 16   , 0
FBRAIN2    , 0.0                    , 0.0                    , 0.00    , 0.031128547346446538   , 0.031128547346446538   , 0.00    , 522  , 522  , 0
FBRAIN2LS  , 0.39207832626399236    , 0.39207832626399236    , 0.00    , 0.0                    , 0.0                    , 0.00    , 2000 , 2000 , 3
FBRAIN3    , 0.0                    , 0.0                    , 0.00    , 0.027822835134793777   , 0.027822835134793777   , 0.00    , 3000 , 3000 , 3
FBRAIN3LS  , 0.36640222953974183    , 0.36640222953974183    , 0.00    , 0.0                    , 0.0                    , 0.00    , 3000 , 3000 , 3
FBRAINLS   , 0.4948844132827409     , 0.4948844132827409     , 0.00    , 0.0                    , 0.0                    , 0.00    , 1000 , 1000 , 3
FCCU       , 11.149109141488331     , 11.149109141488331     , 0.00    , 3.552713678800501e-15  , 3.552713678800501e-15  , 0.00    , 594  , 594  , 0
FLETCHER   , 11.656854202187198     , 11.656854202187198     , 0.00    , 9.999189920506524e-09  , 9.999189920506524e-09  , 0.00    , 130  , 130  , 0
FLT        , 5.378712120506562e-05  , 5.378712120506562e-05  , 0.00    , 1.520961492941767e-14  , 1.520961492941767e-14  , 0.00    , 63   , 63   , 0
FREURONE   , 0.0                    , 0.0                    , 0.00    , 4.94895209510279       , 4.94895209510279       , 0.00    , 66   , 66   , 0
GAUSS1     , 0.0                    , 0.0                    , 0.00    , 6.3982592316549995     , 6.3982592316549995     , 0.00    , 678  , 678  , 0
GAUSS1LS   , 3552.649289380294      , 3552.649289380294      , 0.00    , 0.0                    , 0.0                    , 0.00    , 92   , 92   , 0
GAUSS2     , 0.0                    , 0.0                    , 0.00    , 5.539526323253131      , 5.539526323253131      , 0.00    , 159  , 159  , 0
GAUSS2LS   , 5155.796364986979      , 5155.796364986979      , 0.00    , 0.0                    , 0.0                    , 0.00    , 307  , 307  , 0
GAUSS3     , 0.0                    , 0.0                    , 0.00    , 5.420551209450949      , 5.420551209450949      , 0.00    , 220  , 220  , 0
GAUSS3LS   , 14723.692179276592     , 14723.692179276592     , 0.00    , 0.0                    , 0.0                    , 0.00    , 4000 , 4000 , 3
GAUSSIAN   , 1.1304050654009694e-08 , 1.1304050654009694e-08 , 0.00    , 0.0                    , 0.0                    , 0.00    , 267  , 267  , 0
GBRAIN     , 0.0                    , 0.0                    , 0.00    , 0.3285258575483354     , 0.3285258575483354     , 0.00    , 17   , 17   , 0
GBRAINLS   , 31.639378435784558     , 31.639378435784558     , 0.00    , 0.0                    , 0.0                    , 0.00    , 1000 , 1000 , 3
GENHS28    , 0.9271827220986375     , 0.9271827220986375     , 0.00    , 2.220446049250313e-16  , 2.220446049250313e-16  , 0.00    , 129  , 129  , 0
GIGOMEZ1   , -2.999999999999996     , -2.999999999999996     , -0.00   , 0.0                    , 0.0                    , 0.00    , 24   , 24   , 0
GIGOMEZ2   , 1.9522244909024595     , 1.9522244909024595     , 0.00    , 4.619804760963575e-09  , 4.619804760963575e-09  , 0.00    , 85   , 85   , 0
GIGOMEZ3   , 1.9999999999999987     , 1.9999999999999987     , 0.00    , 2.6645352591003757e-15 , 2.6645352591003757e-15 , 0.00    , 25   , 25   , 0
GOTTFR     , 0.0                    , 0.0                    , 0.00    , 4.27467727881492e-10   , 4.27467727881492e-10   , 0.00    , 14   , 14   , 0
GROWTH     , 0.0                    , 0.0                    , 0.00    , 0.4409413035711687     , 0.4409413035711687     , 0.00    , 686  , 686  , 0
GROWTHLS   , 14.197523033483348     , 14.197523033483348     , 0.00    , 0.0                    , 0.0                    , 0.00    , 1500 , 1500 , 3
GULF       , 6.267728684025267      , 6.267728684025267      , 0.00    , 0.0                    , 0.0                    , 0.00    , 1500 , 1500 , 3
GULFNE     , 0.0                    , 0.0                    , 0.00    , 0.029037560460857925   , 0.029037560460857925   , 0.00    , 84   , 84   , 0
HAHN1      , 0.0                    , 0.0                    , 0.00    , 7.903071395717545      , 7.903071395717545      , 0.00    , 77   , 77   , 0
HAHN1LS    , 5271.868589886393      , 5271.868589886393      , 0.00    , 0.0                    , 0.0                    , 0.00    , 67   , 67   , 0
HAIFAS     , -0.45000001318128324   , -0.45000001318128324   , -0.00   , 1.3456683714552555e-08 , 1.3456683714552555e-08 , 0.00    , 287  , 287  , 0
HAIRY      , 20.000000000325755     , 20.000000000325755     , 0.00    , 0.0                    , 0.0                    , 0.00    , 90   , 90   , 0
HALDMADS   , 0.00012237099686381107 , 0.00012237099686381107 , 0.00    , 3.61577434659921e-12   , 3.61577434659921e-12   , 0.00    , 62   , 62   , 0
HART6      , -3.3228868915570007    , -3.3228868915570007    , -0.00   , 0.0                    , 0.0                    , 0.00    , 209  , 209  , 0
HATFLDA    , 1.6411188694437973e-07 , 1.6411188694437973e-07 , 0.00    , 0.0                    , 0.0                    , 0.00    , 2000 , 2000 , 3
HATFLDB    , 0.00557280900512232    , 0.00557280900512232    , 0.00    , 0.0                    , 0.0                    , 0.00    , 329  , 329  , 0
HATFLDD    , 0.0014731196825665605  , 0.0014731196825665605  , 0.00    , 0.0                    , 0.0                    , 0.00    , 1500 , 1500 , 3
HATFLDE    , 0.0046816426137926605  , 0.0046816426137926605  , 0.00    , 0.0                    , 0.0                    , 0.00    , 1500 , 1500 , 3
HATFLDF    , 0.0                    , 0.0                    , 0.00    , 6.851463840717997e-14  , 6.851463840717997e-14  , 0.00    , 123  , 123  , 0
HATFLDFL   , 6.656493180111125e-05  , 6.656493180111125e-05  , 0.00    , 0.0                    , 0.0                    , 0.00    , 156  , 156  , 0
HATFLDH    , -24.374999999999996    , -24.374999999999996    , -0.00   , 0.0                    , 0.0                    , 0.00    , 20   , 20   , 0
HEART6     , 0.0                    , 0.0                    , 0.00    , 2.0605739337042905e-13 , 2.0605739337042905e-13 , 0.00    , 1808 , 1808 , 0
HEART6LS   , 8.24858224813558       , 8.24858224813558       , 0.00    , 0.0                    , 0.0                    , 0.00    , 3000 , 3000 , 3
HEART8     , 0.0                    , 0.0                    , 0.00    , 7.105427357601002e-15  , 7.105427357601002e-15  , 0.00    , 1217 , 1217 , 0
HEART8LS   , 1.4181245230979846     , 1.4181245230979846     , 0.00    , 0.0                    , 0.0                    , 0.00    , 4000 , 4000 , 3
HELIX      , 3.272203026880364e-06  , 3.272203026880364e-06  , 0.00    , 0.0                    , 0.0                    , 0.00    , 1500 , 1500 , 3
HELIXNE    , 0.0                    , 0.0                    , 0.00    , 1.0426623005503126e-11 , 1.0426623005503126e-11 , 0.00    , 34   , 34   , 0
HET-Z      , 0.9999980000553024     , 0.9999980000553024     , 0.00    , 0.0                    , 0.0                    , 0.00    , 14   , 14   , 0
HIELOW     , 933.4139380419493      , 933.4139380419493      , 0.00    , 0.0                    , 0.0                    , 0.00    , 1500 , 1500 , 3
HILBERTA   , 2.784356174323199e-12  , 2.784356174323199e-12  , 0.00    , 0.0                    , 0.0                    , 0.00    , 161  , 161  , 0
HILBERTB   , 2.440616690682895e-12  , 2.440616690682895e-12  , 0.00    , 0.0                    , 0.0                    , 0.00    , 286  , 286  , 0
HIMMELBA   , 0.0                    , 0.0                    , 0.00    , 0.0                    , 0.0                    , 0.00    , 9    , 9    , 0
HIMMELBC   , 0.0                    , 0.0                    , 0.00    , 1.7763568394002505e-15 , 1.7763568394002505e-15 , 0.00    , 18   , 18   , 0
HIMMELBD   , 0.0                    , 0.0                    , 0.00    , 2.421306136054515      , 2.421306136054515      , 0.00    , 66   , 66   , 0
HIMMELBE   , 0.0                    , 0.0                    , 0.00    , 0.0                    , 0.0                    , 0.00    , 15   , 15   , 0
HIMMELBF   , 885.379842556993       , 885.379842556993       , 0.00    , 0.0                    , 0.0                    , 0.00    , 2000 , 2000 , 3
HIMMELBG   , 5.361100772323128e-13  , 5.361100772323128e-13  , 0.00    , 0.0                    , 0.0                    , 0.00    , 60   , 60   , 0
HIMMELBH   , -0.9999999999997446    , -0.9999999999997446    , -0.00   , 0.0                    , 0.0                    , 0.00    , 72   , 72   , 0
HIMMELP1   , -51.7378463582927      , -51.7378463582927      , -0.00   , 0.0                    , 0.0                    , 0.00    , 61   , 61   , 0
HIMMELP2   , -62.05393553382589     , -62.05393553382589     , -0.00   , 0.0                    , 0.0                    , 0.00    , 83   , 83   , 0
HIMMELP3   , -59.01317776912174     , -59.01317776912174     , -0.00   , 0.0                    , 0.0                    , 0.00    , 19   , 19   , 0
HIMMELP4   , -59.01317776912174     , -59.01317776912174     , -0.00   , 0.0                    , 0.0                    , 0.00    , 20   , 20   , 0
HIMMELP5   , -59.01317776912174     , -59.01317776912174     , -0.00   , 0.0                    , 0.0                    , 0.00    , 22   , 22   , 0
HIMMELP6   , -59.01317776912174     , -59.01317776912174     , -0.00   , 0.0                    , 0.0                    , 0.00    , 24   , 24   , 0
HONG       , 22.571087363549214     , 22.571087363549214     , 0.00    , 0.0                    , 0.0                    , 0.00    , 86   , 86   , 0
HS1        , 0.014236464990845877   , 0.014236464990845877   , 0.00    , 0.0                    , 0.0                    , 0.00    , 1000 , 1000 , 3
HS10       , -1.0000000014785269    , -1.0000000014785269    , -0.00   , 3.750422306048051e-09  , 3.750422306048051e-09  , 0.00    , 87   , 87   , 0
HS100      , 680.6300573744186      , 680.6300573744186      , 0.00    , 1.3812950783176348e-11 , 1.3812950783176348e-11 , 0.00    , 494  , 494  , 0
HS100LNP   , 680.6300573744146      , 680.6300573744146      , 0.00    , 2.3419488570652902e-11 , 2.3419488570652902e-11 , 0.00    , 382  , 382  , 0
HS100MOD   , 678.6796378870499      , 678.6796378870499      , 0.00    , 5.243805389909539e-09  , 5.243805389909539e-09  , 0.00    , 291  , 291  , 0
HS101      , 1810.9721677773778     , 1810.9721677773778     , 0.00    , 0.0                    , 0.0                    , 0.00    , 3500 , 3500 , 3
HS102      , 3000.076360741547      , 3000.076360741547      , 0.00    , 0.07636220156756568    , 0.07636220156756568    , 0.00    , 3500 , 3500 , 3
HS103      , 3000.2102326770078     , 3000.2102326770078     , 0.00    , 0.21023382818340428    , 0.21023382818340428    , 0.00    , 3500 , 3500 , 3
HS104      , 3.9511633798338273     , 3.9511633798338273     , 0.00    , 9.32302749698707e-09   , 9.32302749698707e-09   , 0.00    , 3494 , 3494 , 0
HS105      , 1062.0117612847187     , 1062.0117612847187     , 0.00    , 0.0                    , 0.0                    , 0.00    , 4000 , 4000 , 3
HS106      , 6403.84461691428       , 6403.84461691428       , 0.00    , 0.07250389269029256    , 0.07250389269029256    , 0.00    , 4000 , 4000 , 3
HS107      , 5055.011797825531      , 5055.011797825531      , 0.00    , 2.0773698317100298e-09 , 2.0773698317100298e-09 , 0.00    , 127  , 127  , 0
HS108      , -0.8660254047017132    , -0.8660254047017132    , -0.00   , 1.5396028896219605e-09 , 1.5396028896219605e-09 , 0.00    , 252  , 252  , 0
HS109      , -111.57243927624917    , -111.57243927624917    , -0.00   , 38560.53255599182      , 38560.53255599182      , 0.00    , 4500 , 4500 , 3
HS11       , -8.498464230059602     , -8.498464230059602     , -0.00   , 2.8177220556813154e-09 , 2.8177220556813154e-09 , 0.00    , 70   , 70   , 0
HS110      , -45.778475531884865    , -45.7784755318843      , -0.00   , 0.0                    , 0.0                    , 0.00    , 228  , 265  , 0
HS111      , -47.76109083484443     , -47.76109083484443     , -0.00   , 2.544230104373213e-11  , 2.544230104373213e-11  , 0.00    , 5000 , 5000 , 3
HS111LNP   , -47.761091063897       , -47.761091063897       , -0.00   , 1.2907698493380693e-08 , 1.2907698493380693e-08 , 0.00    , 5000 , 5000 , 3
HS112      , -47.71663324635484     , -47.71663324635484     , -0.00   , 1.1102230246251565e-16 , 1.1102230246251565e-16 , 0.00    , 171  , 171  , 0
HS113      , 24.306209068181655     , 24.306209068181655     , 0.00    , 5.115907697472721e-13  , 5.115907697472721e-13  , 0.00    , 278  , 278  , 0
HS114      , -1634.2809767930557    , -1634.2809767930557    , -0.00   , 2.842170943040401e-14  , 2.842170943040401e-14  , 0.00    , 999  , 999  , 0
HS116      , 118.97425136644837     , 118.97425136644837     , 0.00    , 9.270415174885203e-09  , 9.270415174885203e-09  , 0.00    , 6500 , 6500 , 3
HS117      , 32.348678965728865     , 32.348678965728865     , 0.00    , 3.049782648645305e-13  , 3.049782648645305e-13  , 0.00    , 1499 , 1499 , 0
HS118      , 664.8204499999993      , 664.8204499999993      , 0.00    , 4.263256414560601e-14  , 4.263256414560601e-14  , 0.00    , 83   , 83   , 0
HS119      , 244.89969751680334     , 244.89969751680334     , 0.00    , 4.440892098500626e-16  , 4.440892098500626e-16  , 0.00    , 288  , 288  , 0
HS12       , -30.00000000122298     , -30.00000000122298     , -0.00   , 2.5688748905849934e-09 , 2.5688748905849934e-09 , 0.00    , 62   , 62   , 0
HS13       , 1.0000009773373966     , 1.0000009773373966     , 0.00    , 1.2564712928227616e-22 , 1.2564712928227616e-22 , 0.00    , 75   , 75   , 0
HS14       , 1.3934649806418395     , 1.3934649806418395     , 0.00    , 2.570288426539946e-11  , 2.570288426539946e-11  , 0.00    , 15   , 15   , 0
HS15       , 306.4999999128419      , 306.4999999128419      , 0.00    , 1.2451162323401377e-10 , 1.2451162323401377e-10 , 0.00    , 21   , 21   , 0
HS16       , 23.144660975101118     , 23.144660975101118     , 0.00    , 0.0                    , 0.0                    , 0.00    , 14   , 14   , 0
HS17       , 0.9999999999786774     , 0.9999999999786774     , 0.00    , 4.7749575873117735e-09 , 4.7749575873117735e-09 , 0.00    , 35   , 35   , 0
